GEOID20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,STATEFP,STATE
08009,3506,57,327,8,149,49,2916,08,CO
08011,5650,315,1737,49,197,37,3315,08,CO
08013,330758,6291,47290,21910,4362,5702,245203,08,CO
08014,74112,1746,9698,6538,1073,1153,53904,08,CO
08015,19476,420,1794,273,444,350,16195,08,CO
08017,1748,32,198,5,28,15,1470,08,CO
08019,9397,117,631,157,200,143,8149,08,CO
08021,7461,66,3751,35,102,42,3465,08,CO
08023,3499,85,1964,76,93,47,1234,08,CO
08025,5922,554,1588,84,225,33,3438,08,CO
08027,4704,49,172,43,127,101,4212,08,CO
08029,31196,313,4269,363,723,621,24907,08,CO
08031,715522,77422,193011,37972,9259,9094,388764,08,CO
08033,2326,42,161,18,109,46,1950,08,CO
08035,357978,9103,33025,26614,5082,5384,278770,08,CO
08037,55731,583,16732,1110,501,603,36202,08,CO
08039,26062,316,2033,466,602,460,22185,08,CO
08041,730395,63223,122231,37854,15487,11116,480484,08,CO
08043,48939,2132,5940,538,1659,957,37713,08,CO
08045,61685,771,19319,792,1212,955,38636,08,CO
08047,5808,77,364,148,161,106,4952,08,CO
08049,15717,119,1513,189,224,237,13435,08,CO
08051,16918,168,1574,245,336,341,14254,08,CO
08053,788,29,21,16,14,15,693,08,CO
08055,6820,112,2101,52,213,111,4231,08,CO
08057,1379,17,127,12,34,28,1161,08,CO
08059,582910,13031,89296,25259,10724,9355,435245,08,CO
08061,1446,34,95,21,32,17,1247,08,CO
08063,7087,64,1402,62,156,97,5306,08,CO
08065,7436,87,2638,116,182,120,4293,08,CO
08067,55638,582,6900,777,3978,1009,42392,08,CO
08069,359066,7331,43547,12940,6777,5890,282581,08,CO
08071,14555,311,5566,179,328,206,7965,08,CO
08073,5675,308,795,81,177,62,4252,08,CO
08075,21528,894,3466,227,406,198,16337,08,CO
08077,155703,2331,22824,3066,3881,2852,120749,08,CO
08079,865,16,40,6,22,6,775,08,CO
08081,13292,184,2108,113,375,199,10313,08,CO
08083,25849,280,3048,279,3835,372,18035,08,CO
08085,42679,419,8931,586,1016,601,31126,08,CO
08087,29111,1139,10476,249,468,233,16546,08,CO
08089,18690,308,7619,190,355,205,10013,08,CO
08091,4874,36,291,50,93,96,4308,08,CO
08093,17390,194,1213,233,486,362,14902,08,CO
08095,4530,54,1127,36,57,10,3246,08,CO
08097,17358,212,1874,444,138,257,14433,08,CO
08099,11999,171,4635,52,340,115,6686,08,CO
08101,168162,5920,68320,2589,3506,2300,85527,08,CO
08103,6529,57,612,58,194,99,5509,08,CO
08105,11539,153,4574,87,299,165,6261,08,CO
08107,24829,270,2163,421,339,394,21242,08,CO
08109,6368,46,2385,94,192,73,3578,08,CO
08111,705,9,86,8,19,8,575,08,CO
08113,8072,64,871,97,159,124,6757,08,CO
08115,2404,22,355,28,42,23,1934,08,CO
08117,31055,420,5304,729,351,469,23782,08,CO
08119,24710,325,1677,402,704,585,21017,08,CO
08121,4817,71,499,32,98,60,4057,08,CO
08123,328981,7197,97273,8786,5635,4209,205881,08,CO
08125,9988,58,2761,44,92,85,6948,08,CO
09001,957419,125054,191040,59317,3950,25933,552125,09,CT
09003,899498,149466,148236,59653,6311,12727,523105,09,CT
09005,185186,5820,13427,4622,2364,3352,155601,09,CT
09007,164245,11355,10703,6143,1629,2461,131954,09,CT
09009,864835,140597,152941,42680,6106,12823,509688,09,CT
09011,268555,23511,27234,13651,5312,3953,194894,09,CT
09013,149788,7447,8809,9696,1761,2054,120021,09,CT
09015,116418,4166,13550,2719,2241,1898,91844,09,CT
10001,181851,53891,11477,5910,3343,2385,104845,10,DE
10003,570719,161397,55969,39082,4955,6051,303265,10,DE
10005,237378,29656,25672,4116,3320,2873,171741,10,DE
12001,278468,58352,31123,21347,3299,3884,160463,12,FL
12003,28259,4108,922,289,513,242,22185,12,FL
12005,175216,21199,12967,6343,4323,2036,128348,12,FL
12007,28303,5857,1254,226,424,222,20320,12,FL
12009,606612,71790,62361,22265,10008,9252,430936,12,FL
12011,1944375,587444,571963,84745,8248,47745,644230,12,FL
12013,13648,1878,594,128,499,59,10490,12,FL
12015,186847,11714,13029,3567,2478,2359,153700,12,FL
12017,153843,5799,8680,3152,2866,1869,131477,12,FL
12019,218245,31671,20780,9683,4321,2804,148986,12,FL
12021,375752,26781,100118,7040,2372,3986,235455,12,FL
12023,69698,12772,4731,1108,1291,700,49096,12,FL
12027,33976,4610,9874,268,339,261,18624,12,FL
12029,16759,1762,646,92,366,143,13750,12,FL
12031,995567,317860,100471,60011,11819,13367,492039,12,FL
12033,321905,75810,19088,14346,7737,3962,200962,12,FL
12035,115378,13230,11308,3256,1504,1789,84291,12,FL
12037,12451,1596,635,52,256,114,9798,12,FL
12039,43826,24018,4904,252,331,228,14093,12,FL
12041,17864,980,1287,136,478,156,14827,12,FL
12043,12126,1563,2990,52,292,97,7132,12,FL
12045,14192,1889,513,98,354,116,11222,12,FL
12047,14004,4674,1370,95,151,81,7633,12,FL
12049,25327,2437,10457,217,246,97,11873,12,FL
12051,39619,4789,21740,440,283,278,12089,12,FL
12053,194515,13615,27164,3723,3386,2567,144060,12,FL
12055,101235,11538,19985,1959,1254,988,65511,12,FL
12057,1459762,277681,397083,83483,13915,19809,667791,12,FL
12059,19653,1431,633,160,536,127,16766,12,FL
12061,159788,15339,20086,3081,1792,2068,117422,12,FL
12063,47319,12923,2035,418,925,389,30629,12,FL
12065,14510,4776,616,95,192,111,8720,12,FL
12067,8226,1114,894,18,83,43,6074,12,FL
12069,383956,46821,61297,11092,5591,5941,253214,12,FL
12071,760822,70156,165953,16604,6840,10793,490476,12,FL
12073,292198,94754,20439,13166,3636,2745,157458,12,FL
12075,42915,4293,3866,439,923,520,32874,12,FL
12077,7974,1448,535,37,185,40,5729,12,FL
12079,17968,6555,832,82,239,128,10132,12,FL
12081,399710,37821,68456,10886,4577,4869,273101,12,FL
12083,375908,51272,52249,7940,6017,4593,253837,12,FL
12085,158431,9197,23465,3070,1604,1879,119216,12,FL
12086,2701767,459239,1794129,48173,4094,34615,361517,12,FL
12087,82874,5859,18677,1696,922,989,54731,12,FL
12089,90352,6114,4133,1564,1727,997,75817,12,FL
12091,211668,25301,20738,11207,4923,3228,146271,12,FL
12093,39644,3858,9615,438,652,410,24671,12,FL
12095,1429908,318041,440165,90915,10679,38746,531362,12,FL
12097,388656,54280,196481,13981,2730,7822,113362,12,FL
12099,1492191,290102,333574,52199,7696,28861,779759,12,FL
12101,561891,45042,86904,21133,8730,7707,392375,12,FL
12103,959107,110668,95744,42583,12210,13439,684463,12,FL
12105,725046,121834,176343,16658,9285,8305,392621,12,FL
12107,73321,12490,7420,751,1435,684,50541,12,FL
12109,273425,17004,21323,13178,3672,3820,214428,12,FL
12111,329226,74198,62211,7485,3272,5527,176533,12,FL
12113,188000,14124,11038,7088,5570,2662,147518,12,FL
12115,434006,21426,41557,10919,4424,5980,349700,12,FL
12117,470856,65885,98360,30266,5137,7136,264072,12,FL
12119,129752,9378,7167,1576,1396,1022,109213,12,FL
12121,43474,5488,4622,416,843,441,31664,12,FL
12123,21796,4445,838,275,482,127,15629,12,FL
12125,16147,3406,703,75,245,133,11585,12,FL
12127,553543,67950,76757,13836,8494,6979,379527,12,FL
12129,33764,4645,1470,378,913,371,25987,12,FL
12131,75305,4188,6044,1591,1980,858,60644,12,FL
12133,25318,3670,836,292,814,222,19484,12,FL
13001,18444,3647,1755,156,157,55,12674,13,GA
13003,8286,1284,2037,33,98,33,4801,13,GA
13005,11140,1970,845,53,105,64,8103,13,GA
13007,2876,1178,131,30,16,7,1514,13,GA
13009,43799,18985,994,729,361,298,22432,13,GA
13011,18035,589,1146,242,370,110,15578,13,GA
13013,83505,11907,10066,3693,1408,849,55582,13,GA
13015,108901,13395,10282,1634,2461,970,80159,13,GA
13017,17194,6537,994,146,222,76,9219,13,GA
13019,18160,2198,989,151,299,127,14396,13,GA
13021,157346,88865,5787,3777,1179,951,56787,13,GA
13023,12583,2951,418,197,96,54,8867,13,GA
13025,18021,733,308,87,443,133,16317,13,GA
13027,16301,5958,900,106,190,81,9066,13,GA
13029,44738,7463,2894,1697,885,478,31321,13,GA
13031,81099,24375,3744,1792,1003,473,49712,13,GA
13033,24596,11430,680,166,256,123,11941,13,GA
13035,25434,7212,739,189,414,252,16628,13,GA
13037,5573,3629,124,24,28,2,1766,13,GA
13039,54768,11072,3270,1441,1143,639,37203,13,GA
13043,10981,2807,1351,82,129,45,6567,13,GA
13045,119148,24618,8963,1586,2145,1111,80725,13,GA
13047,67872,2642,2219,1399,1817,515,59280,13,GA
13049,12518,2798,1777,135,192,84,7532,13,GA
13051,295291,115458,21481,13160,3052,2707,139433,13,GA
13053,9565,1825,1502,600,146,89,5403,13,GA
13055,24965,2865,1267,125,451,178,20079,13,GA
13057,266620,21687,30872,7804,4722,3668,197867,13,GA
13059,128671,33672,13781,6133,1333,1551,72201,13,GA
13061,2848,1634,30,20,14,7,1143,13,GA
13063,297595,216351,37916,14019,1339,2068,25902,13,GA
13065,6749,2096,221,38,89,49,4256,13,GA
13067,766149,223116,103330,49224,7354,13943,369182,13,GA
13069,43092,12575,5268,414,461,216,24158,13,GA
13071,45898,10648,8566,493,380,223,25588,13,GA
13073,156010,32516,10267,9830,2544,1742,99111,13,GA
13075,17229,5014,1101,160,199,97,10658,13,GA
13077,146158,28289,10286,4400,2348,1414,99421,13,GA
13079,12130,2455,382,92,229,106,8866,13,GA
13081,20128,9194,565,239,139,99,9892,13,GA
13083,16251,228,345,187,565,140,14786,13,GA
13085,26798,392,1581,374,662,245,23544,13,GA
13087,29367,12583,1842,244,275,143,14280,13,GA
13089,764382,407451,73475,56200,3828,7533,215895,13,GA
13091,19925,6148,566,126,148,72,12865,13,GA
13093,11208,5652,762,77,70,36,4611,13,GA
13095,85790,61457,2000,864,460,378,20631,13,GA
13097,144237,74260,14117,2858,1589,1536,49877,13,GA
13099,10854,5688,153,61,105,34,4813,13,GA
13101,3697,193,1070,24,77,5,2328,13,GA
13103,64769,10035,3247,1192,1457,634,48204,13,GA
13105,19637,5520,955,232,208,112,12610,13,GA
